partner_id,display_name,entity_type,partner_type,legal_entity,registered_capital,founded_date,legal_representative,business_status,business_info_source,city,coverage_area,platforms,ecommerce_scene,categories,price_range,cooperation_models,typical_fee_range,customer_profile,public_cases,case_verification_status,verification_status,review_count,verified_review_count,risk_level,risk_tag_1,risk_tag_2,risk_tag_3,risk_tags,authenticity_score,fulfillment_score,category_fit_score,conversion_feedback_score,data_transparency_score,risk_control_score,data_completeness_score,overall_score,data_source,visibility,updated_at,notes,Introduction
P001,昆图斯,person,主播达人,,,,,,,上海,全国,抖音,短视频内容;直播电商,健康保健;新消费,100-500,服务费;佣金,未知,健身及新消费人群,用户补充确认：昆图斯是上海的个人创作者，并签约果核宇宙。公开合作案例、报价、履约和品牌反馈仍需单独核验。,部分核验,部分核验,1,0,low,信息待补充,签约关系需持续核验,案例未完全核验,信息待补充;签约关系需持续核验;案例未完全核验,75,70,75,65,60,70,65,69,用户确认;公开资料,public,2026-06-05,不要把昆图斯和果核宇宙合并；昆图斯是个人创作者，果核宇宙是签约 MCN/公司。,昆图斯为个人创作者档案，所在地按用户确认保留为上海。其与果核宇宙的关系以签约创作者关系展示，不能替代公司主体信息。
P002,零重力Ralf,person,主播达人,,,,,,,上海,全国,抖音,短视频带货,食品饮料;运动户外;健康保健,100-500,服务费;佣金,5万-20万,健身人群,公开案例以服务商自述为主,未核验,未核验,1,1,low,信息待补充,案例主要来自自述,需人工核验,信息待补充;案例主要来自自述,100,90,85,90,80,90,70,89,公开资料,public,2026-06-05,示例行，可删除,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P003,某某私域团长,person,私域团长,,,,,,,广州,华南,微信私域,私域转化;分销招商,食品饮料;母婴;宠物,100-500,佣金;分销,1万以下,宝妈;社区消费人群,暂无公开案例,无公开案例,未核验,1,0,medium,客户画像不清晰,成交周期较长,需人工核验,客户画像不清晰;成交周期较长,55,70,65,60,45,60,55,60,品牌方提及,internal,2026-06-05,示例行，可删除,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_001,无忧传媒,company,直播代运营,无忧传媒集团有限公司,,2020-04-07,,,水滴信用：无忧传媒集团有限公司工商信息,北京;杭州,全国,抖音;微信视频号;小红书,短视频;直播电商;达人经纪,所有品类,未知,品牌内容营销;直播电商;达人合作,未知,品牌方;电商商家,公开资料显示无忧传媒为综合性 MCN/直播电商相关机构；原始资料提到其双总部、多平台业务、达人矩阵和累计合作品牌。公开信息不等同于已验证合作评价。,部分核验,部分核验,0,0,low,案例未完全核验,信息待补充,公开资料需复核,案例未完全核验;信息待补充;公开资料需复核,45,45,45,40,35,50,70,70,官网;raw_data.csv,public,2026-06-05,来源 raw_id=RAW001；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,无忧传媒为综合性 MCN/直播电商相关机构档案。合作前仍需核验具体联系人、达人授权、报价与品牌反馈。
P_COMPANY_002,畅玩,company,直播代运营,福建畅玩网络有限公司,,2018-08-24,,,水滴信用：福建畅玩网络有限公司工商信息,福州,全国,抖音,自媒体营销;MCN运营;KOL孵化,所有品类,未知,内容营销;达人孵化;品牌传播,未知,内容营销品牌;电商商家,原始资料显示畅玩集团业务涵盖自媒体营销、网站媒体营销、MCN运营及KOL孵化；主页展示案例但缺少品牌方确认。,未核验,未核验,0,0,low,信息待补充,案例未完全核验,公开资料需复核,信息待补充;案例未完全核验;公开资料需复核,45,45,45,40,35,50,55,60,官网线索;raw_data.csv,public,2026-06-05,来源 raw_id=RAW002；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,畅玩为线上内容营销与 MCN/KOL 孵化相关机构档案。需进一步核验服务边界、授权链路和合作反馈。
P_COMPANY_003,渝欣,company,MCN机构,重庆渝欣文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW003；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_004,OST传媒,company,MCN机构,成都星娱时代文化传播有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW004；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_005,乾派文化,company,MCN机构,深圳市乾派文化传播有限公司,500万人民币,2017-08-18,夏铁林,开业,爱企查：深圳市乾派文化传播有限公司工商信息,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW005；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_006,古麦嘉禾,company,MCN机构,青岛古麦嘉禾科技有限公司,1000万人民币,2018-03-26,于海波,,中商情报网高新技术企业名录：青岛古麦嘉禾科技有限公司,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW006；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_007,御今文化,company,MCN机构,御今文化发展（上海）有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW007；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
